Unique ID,Abbreviation,Parent Agency,Bureau,Date,Fedscope ID,Capacity Score,Capacity Score SD,Capacity Upperbound,Capacity Lowerbound
DJ11-200109,EOUST,Department of Justice,Executive Office for United States Trustees,2001,DJ11,-0.495121487,0.723974352,-1.907566562,0.932202858
DJ12-200109,EOIR,Department of Justice,Executive Office for Immigration Review,2001,DJ12,0.524753231,0.72617815,-0.897386641,1.953363139
DJ14-200109,JCRS,Department of Justice,Community Relations Service,2001,DJ14,-1.332193856,0.729180651,-2.776624465,0.097360187
DL-DEP-200109,DOL,Department of Labor,,2001,DL-DEP,-0.40494957,0.719282454,-1.823142807,1.002639813
DLAA-200109,DOLSEC,Department of Labor,Office of the Secretary,2001,DLAA,-0.048857873,0.728624947,-1.482503239,1.36867505
DLAM-200109,DOLMANG,Department of Labor,Office of the Assistant Secretary for Administration and Management,2001,DLAM,-0.60768701,0.723682788,-2.017814314,0.8204645
DLBL-200109,BILA,Department of Labor,Bureau of International Labor Affairs,2001,DLBL,0.539224877,0.730680012,-0.902577863,1.98017303
DLES-200109,DLES,Department of Labor,Employment Standards Administration,2001,DLES,-0.437630332,0.724202196,-1.885318039,0.979095575
DLET-200109,ETA,Department of Labor,Employment and Training Administration,2001,DLET,-0.127644038,0.731113601,-1.554552494,1.29199633
DLLS-200109,BLS,Department of Labor,Bureau of Labor Statistics,2001,DLLS,0.053269338,0.729360376,-1.370979172,1.480165948
DLMS-200109,MSHA,Department of Labor,Mine Safety and Health Administration,2001,DLMS,-1.031250643,0.731045028,-2.457031894,0.397462846
DLPW-200109,EBSA,Department of Labor,Employee Benefits Security Administration,2001,DLPW,-0.017131044,0.731617646,-1.451037272,1.411422126
DLSH-200109,OSHA,Department of Labor,Occupational Safety and Health Administration,2001,DLSH,0.00277094,0.730592126,-1.434020957,1.414186843
DLVE-200109,VETS,Department of Labor,Veterans' Employment and Training Service,2001,DLVE,-1.841589083,0.721554725,-3.259731761,-0.43139282
DLWB-200109,WB,Department of Labor,Women's Bureau,2001,DLWB,0.000737758,0.724098748,-1.417553901,1.432650213
DN00-200109,DOE,Department of Energy,,2001,DN00,0.363391855,0.734523954,-1.07470474,1.814991315
EB00-200109,EXIM,Export-Import Bank of the United States,,2001,EB00,0.287955946,0.727967195,-1.135792245,1.707257583
ED-DEP-200109,DOED,Department of Education,,2001,ED-DEP,0.116607179,0.727365472,-1.317224467,1.535062529
EDEB-200109,EDSEC,Department of Education,Office of the Secretary,2001,EDEB,-0.675891411,0.739620516,-2.12900925,0.751250017
EDEC-200109,EDCIV,Department of Education,Office of Civil Rights,2001,EDEC,0.33401114,0.736968961,-1.10591645,1.766558815
EDEE-200109,EDUSEC,Department of Education,Office of the Under Secretary,2001,EDEE,0.558775358,0.720967858,-0.856206127,1.983513997
EDEH-200109,PSER,Department of Education,Office of Special Education and Rehabilitative Services,2001,EDEH,0.200736313,0.720752125,-1.217823269,1.608284082
EDEK-200109,EDIG,Department of Education,Office of Intergovernmental and Interagency Affairs,2001,EDEK,-0.231447529,0.735821091,-1.693572058,1.203888198
EDEL-200109,EDCFO,Department of Education,Office of the Chief Financial Officer,2001,EDEL,0.079552002,0.719276646,-1.312599497,1.481029326
EDEM-200109,EDMANG,Department of Education,Office of Management,2001,EDEM,-0.332374555,0.727453221,-1.767922925,1.094706988
EDEN-200109,OFSA,Department of Education,Federal Student Aid,2001,EDEN,-0.437330659,0.737289384,-1.856061637,1.017568135
EDEP-200109,OPE,Department of Education,Office of Postsecondary Education,2001,EDEP,0.082631649,0.729544576,-1.330085388,1.506480528
EDER-200109,EDER,Department of Education,Institute of Education Sciences,2001,EDER,0.703275854,0.728188305,-0.726422199,2.111618133
EDES-200109,OESA,Department of Education,Office of Elementary and Secondary Education,2001,EDES,0.424400911,0.728209276,-0.991005158,1.857540136
EDET-200109,OELA,Department of Education,Office of English Language Acquisition,2001,EDET,0.226446128,0.734350178,-1.206841659,1.661431336
EDEV-200109,EDEV,Department of Education,"Office of Career, Technical, and Adult Education",2001,EDEV,0.303096437,0.731533172,-1.126168893,1.741436822
EE00-200109,EEOC,Equal Employment Opportunity Commission,,2001,EE00,-0.493964966,0.736245248,-1.940566544,0.949468124
EM01-200109,PREFEMA,Federal Emergency Management Agency,,2001,EM01,-1.129414353,0.725042226,-2.538614688,0.288268263
EP00-200109,EPA,Environmental Protection Agency,,2001,EP00,0.498744803,0.725287303,-0.927430017,1.926105659
EW00-200109,TDA,Trade and Development Agency,,2001,EW00,0.456503912,0.731305729,-0.96808509,1.866755749
FC00-200109,FCC,Federal Communications Commission,,2001,FC00,0.596429905,0.730006592,-0.815666099,2.022611519
FD00-200109,FDIC,Federal Deposit Insurance Corporation,,2001,FD00,0.277726656,0.729957306,-1.147526194,1.702034584
FJ00-200109,CSHIB,Chemical Safety and Hazard Investigation Board,,2001,FJ00,-0.276636356,0.739340728,-1.718774007,1.162852283
FL00-200109,FCA,Farm Credit Administration,,2001,FL00,0.319941099,0.721628916,-1.102767273,1.717021365
FM00-200109,FMCS,Federal Mediation and Conciliation Service,,2001,FM00,-1.642286123,0.723628351,-3.071542873,-0.208496163
FT00-200109,FTC,Federal Trade Commission,,2001,FT00,0.837046226,0.739868677,-0.61437853,2.294422121
FW00-200109,OSC,Office of Special Counsel,,2001,FW00,0.243374838,0.732576438,-1.198959537,1.665892971
FY00-200109,FHFB,Federal Housing Finance Board,,2001,FY00,0.892327434,0.729084732,-0.520927983,2.322064658
GB00-200109,OPIC,International Development Finance Corporation,Overseas Private Investment Corporation,2001,GB00,-0.179380106,0.730492628,-1.595443417,1.248094663
GG00-200109,OGE,Office of Government Ethics,,2001,GG00,0.348945564,0.724404809,-1.07397945,1.755070087
GJ00-200109,Presidio,Presidio Trust,,2001,GJ00,-0.519820226,0.718001266,-1.917098547,0.880738187
GS-DEP-200109,GSA,General Services Administration,,2001,GS-DEP,-1.003959567,0.729881669,-2.436309251,0.416733486
HE-DEP-200109,HHS,Department of Health and Human Services,,2001,HE-DEP,0.132751711,0.728333671,-1.292802445,1.564880323
HE32-200109,SAMHSA,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,2001,HE32,0.586199788,0.725757348,-0.821615893,2.003461808
HE33-200109,AHRQ,Department of Health and Human Services,Agency for Healthcare Research and Quality,2001,HE33,0.728490461,0.723944589,-0.719046515,2.139985825
HE34-200109,HRSA,Department of Health and Human Services,Health Resources and Services Administration,2001,HE34,-0.099128053,0.740573193,-1.550134434,1.355592352
HE35-200109,ATSDR,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,2001,HE35,0.638382051,0.732714671,-0.775927624,2.0782302
HE36-200109,FDA,Department of Health and Human Services,Food and Drug Administration,2001,HE36,0.404110881,0.737378418,-1.035957024,1.849892356
HE37-200109,IHS,Department of Health and Human Services,Indian Health Service,2001,HE37,-0.958777369,0.726845139,-2.387192595,0.450254648
HE38-200109,NIH,Department of Health and Human Services,National Institutes of Health,2001,HE38,0.480594693,0.74081091,-0.964734037,1.935296516
HE39-200109,CDC,Department of Health and Human Services,Centers for Disease Control and Prevention,2001,HE39,0.353080931,0.721307906,-1.04723726,1.768083107
HE70-200109,CMS,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2001,HE70,-0.059067564,0.719324395,-1.479289621,1.350443438
HE90-200109,ACF,Department of Health and Human Services,Administration for Children and Families,2001,HE90,0.075580464,0.727220709,-1.3474072,1.49446731
HP00-200109,ACHP,Advisory Council on Historic Preservation,,2001,HP00,-0.153341125,0.736714943,-1.609474269,1.292667347
HU-DEP-200109,HUD,Department of Housing and Urban Development,,2001,HU-DEP,-0.602295249,0.733636251,-2.036507242,0.825341569
HUAA-200109,HUDSEC,Department of Housing and Urban Development,Office of the Secretary,2001,HUAA,-0.59087909,0.721160448,-2.017611148,0.821348317
HUBB-200109,HUDMANG,Department of Housing and Urban Development,Office of Administration,2001,HUBB,-1.218004273,0.73314181,-2.65633107,0.215706362
